Field Name	Field Description
Applicant Street address	{'FieldType': 'Text', 'FieldName': 'Applicant Street address', 'FieldNameAlt': 'Applicant Street address', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Applicant Unit number	{'FieldType': 'Text', 'FieldName': 'Applicant Unit number', 'FieldNameAlt': 'Applicant Unit number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Applicant Lot/Concession	{'FieldType': 'Text', 'FieldName': 'Applicant Lot/Concession', 'FieldNameAlt': 'Applicant Lot/Concession', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Applicant Municipality	{'FieldType': 'Text', 'FieldName': 'Applicant Municipality', 'FieldNameAlt': 'Applicant Municipality', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Applicant Postal code	{'FieldType': 'Text', 'FieldName': 'Applicant Postal code', 'FieldNameAlt': 'Applicant Postal code', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Applicant Province	{'FieldType': 'Text', 'FieldName': 'Applicant Province', 'FieldNameAlt': 'Applicant Province', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Applicant Email	{'FieldType': 'Text', 'FieldName': 'Applicant Email', 'FieldNameAlt': 'Applicant Email', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Applicant Telephone number	{'FieldType': 'Text', 'FieldName': 'Applicant Telephone number', 'FieldNameAlt': 'Applicant Telephone number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Applicant Fax	{'FieldType': 'Text', 'FieldName': 'Applicant Fax', 'FieldNameAlt': 'Applicant Fax', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Applicant Cell number	{'FieldType': 'Text', 'FieldName': 'Applicant Cell number', 'FieldNameAlt': 'Applicant Cell number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Owner Last name	{'FieldType': 'Text', 'FieldName': 'Owner Last name', 'FieldNameAlt': 'Owner Last name', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Owner First name	{'FieldType': 'Text', 'FieldName': 'Owner First name', 'FieldNameAlt': 'Owner First name', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Owner Corporation or partnership	{'FieldType': 'Text', 'FieldName': 'Owner Corporation or partnership', 'FieldNameAlt': 'Owner Corporation or partnership', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Owner Street address	{'FieldType': 'Text', 'FieldName': 'Owner Street address', 'FieldNameAlt': 'Owner Street address', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Owner Unit number	{'FieldType': 'Text', 'FieldName': 'Owner Unit number', 'FieldNameAlt': 'Owner Unit number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Owner Lot/Concession	{'FieldType': 'Text', 'FieldName': 'Owner Lot/Concession', 'FieldNameAlt': 'Owner Lot/Concession', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Owner Municipality	{'FieldType': 'Text', 'FieldName': 'Owner Municipality', 'FieldNameAlt': 'Owner Municipality', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Owner Postal code	{'FieldType': 'Text', 'FieldName': 'Owner Postal code', 'FieldNameAlt': 'Owner Postal code', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Owner Province	{'FieldType': 'Text', 'FieldName': 'Owner Province', 'FieldNameAlt': 'Owner Province', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Owner Email	{'FieldType': 'Text', 'FieldName': 'Owner Email', 'FieldNameAlt': 'Owner Email', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Owner Telephone number	{'FieldType': 'Text', 'FieldName': 'Owner Telephone number', 'FieldNameAlt': 'Owner Telephone number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Owner Fax	{'FieldType': 'Text', 'FieldName': 'Owner Fax', 'FieldNameAlt': 'Owner Fax', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Owner Cell number	{'FieldType': 'Text', 'FieldName': 'Owner Cell number', 'FieldNameAlt': 'Owner Cell number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Builder Last name	{'FieldType': 'Text', 'FieldName': 'Builder Last name', 'FieldNameAlt': 'Builder Last name', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Builder First name	{'FieldType': 'Text', 'FieldName': 'Builder First name', 'FieldNameAlt': 'Builder First name', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Builder Corporation or partnership (if applicable)	{'FieldType': 'Text', 'FieldName': 'Builder Corporation or partnership (if applicable)', 'FieldNameAlt': 'Builder Corporation or partnership (if applicable)', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Builder Street address	{'FieldType': 'Text', 'FieldName': 'Builder Street address', 'FieldNameAlt': 'Builder Street address', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Builder Unit number	{'FieldType': 'Text', 'FieldName': 'Builder Unit number', 'FieldNameAlt': 'Builder Unit number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Builder Lot/Concession	{'FieldType': 'Text', 'FieldName': 'Builder Lot/Concession', 'FieldNameAlt': 'Builder Lot/Concession', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Builder Municipality	{'FieldType': 'Text', 'FieldName': 'Builder Municipality', 'FieldNameAlt': 'Builder Municipality', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Builder Postal code	{'FieldType': 'Text', 'FieldName': 'Builder Postal code', 'FieldNameAlt': 'Builder Postal code', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Builder Province	{'FieldType': 'Text', 'FieldName': 'Builder Province', 'FieldNameAlt': 'Builder Province', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Builder Email	{'FieldType': 'Text', 'FieldName': 'Builder Email', 'FieldNameAlt': 'Builder Email', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Builder Telephone number	{'FieldType': 'Text', 'FieldName': 'Builder Telephone number', 'FieldNameAlt': 'Builder Telephone number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Builder Fax	{'FieldType': 'Text', 'FieldName': 'Builder Fax', 'FieldNameAlt': 'Builder Fax', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Builder Cell number	{'FieldType': 'Text', 'FieldName': 'Builder Cell number', 'FieldNameAlt': 'Builder Cell number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
If registration is required under Ontario New Home Warranties Plan Act, provide registration number(s)	{'FieldType': 'Text', 'FieldName': 'If registration is required under Ontario New Home Warranties Plan Act, provide registration number(s)', 'FieldNameAlt': 'If registration is required under Ontario New Home Warranties Plan Act, provide registration number(s)', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Designer Name	{'FieldType': 'Text', 'FieldName': 'Designer Name', 'FieldNameAlt': 'Designer Name', 'FieldFlags': '0', 'FieldJustification': 'Center'}
Designer Firm	{'FieldType': 'Text', 'FieldName': 'Designer Firm', 'FieldNameAlt': 'Designer Firm', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project Building number street name for Designer Information	{'FieldType': 'Text', 'FieldName': 'Project Building number street name for Designer Information', 'FieldNameAlt': 'Project Building number street name for Designer Information', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project Unit number for Designer Information	{'FieldType': 'Text', 'FieldName': 'Project Unit number for Designer Information', 'FieldNameAlt': 'Project Unit number for Designer Information', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project Lot/Concession for Designer Information	{'FieldType': 'Text', 'FieldName': 'Project Lot/Concession for Designer Information', 'FieldNameAlt': 'Project Lot/Concession for Designer Information', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project Municipality for Designer Information	{'FieldType': 'Text', 'FieldName': 'Project Municipality for Designer Information', 'FieldNameAlt': 'Project Municipality for Designer Information', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project Postal code for Designer Information	{'FieldType': 'Text', 'FieldName': 'Project Postal code for Designer Information', 'FieldNameAlt': 'Project Postal code for Designer Information', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project Plan number / other description for Designer Information	{'FieldType': 'Text', 'FieldName': 'Project Plan number / other description for Designer Information', 'FieldNameAlt': 'Project Plan number / other description for Designer Information', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Designer Street address	{'FieldType': 'Text', 'FieldName': 'Designer Street address', 'FieldNameAlt': 'Designer Street address', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Designer Unit no	{'FieldType': 'Text', 'FieldName': 'Designer Unit no', 'FieldNameAlt': 'Designer Unit no', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Designer Lot/Concession	{'FieldType': 'Text', 'FieldName': 'Designer Lot/Concession', 'FieldNameAlt': 'Designer Lot/Concession', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Designer Municipality	{'FieldType': 'Text', 'FieldName': 'Designer Municipality', 'FieldNameAlt': 'Designer Municipality', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Designer Postal code	{'FieldType': 'Text', 'FieldName': 'Designer Postal code', 'FieldNameAlt': 'Designer Postal code', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Designer Province	{'FieldType': 'Text', 'FieldName': 'Designer Province', 'FieldNameAlt': 'Designer Province', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Designer Email	{'FieldType': 'Text', 'FieldName': 'Designer Email', 'FieldNameAlt': 'Designer Email', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Designer Telephone number	{'FieldType': 'Text', 'FieldName': 'Designer Telephone number', 'FieldNameAlt': 'Designer Telephone number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Designer Fax number	{'FieldType': 'Text', 'FieldName': 'Designer Fax number', 'FieldNameAlt': 'Designer Fax number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Designer Cell number	{'FieldType': 'Text', 'FieldName': 'Designer Cell number', 'FieldNameAlt': 'Designer Cell number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Designer Name for Declaration	{'FieldType': 'Text', 'FieldName': 'Designer Name for Declaration', 'FieldNameAlt': 'Designer Name for Declaration', 'FieldFlags': '0', 'FieldJustification': 'Center'}
Date Signed by Designer	{'FieldType': 'Text', 'FieldName': 'Date Signed by Designer', 'FieldNameAlt': 'Date Signed by Designer', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project Building number street name for Sewage System Installer	{'FieldType': 'Text', 'FieldName': 'Project Building number street name for Sewage System Installer', 'FieldNameAlt': 'Project Building number street name for Sewage System Installer', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project Unit number for Sewage System Installer	{'FieldType': 'Text', 'FieldName': 'Project Unit number for Sewage System Installer', 'FieldNameAlt': 'Project Unit number for Sewage System Installer', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project Lot/Concession for Sewage System Installer	{'FieldType': 'Text', 'FieldName': 'Project Lot/Concession for Sewage System Installer', 'FieldNameAlt': 'Project Lot/Concession for Sewage System Installer', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project Municipality	{'FieldType': 'Text', 'FieldName': 'Project Municipality', 'FieldNameAlt': 'Project Municipality', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project Municipality for Sewage System Installer	{'FieldType': 'Text', 'FieldName': 'Project Municipality for Sewage System Installer', 'FieldNameAlt': 'Project Municipality for Sewage System Installer', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project Postal code for Sewage System Installer	{'FieldType': 'Text', 'FieldName': 'Project Postal code for Sewage System Installer', 'FieldNameAlt': 'Project Postal code for Sewage System Installer', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project Plan number other description for Sewage System Installer	{'FieldType': 'Text', 'FieldName': 'Project Plan number other description for Sewage System Installer', 'FieldNameAlt': 'Project Plan number other description for Sewage System Installer', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Section C - Installer Name	{'FieldType': 'Text', 'FieldName': 'Section C - Installer Name', 'FieldNameAlt': 'Section C - Installer Name', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Section C - Installer BCIN	{'FieldType': 'Text', 'FieldName': 'Section C - Installer BCIN', 'FieldNameAlt': 'Section C - Installer BCIN', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Section C - Installer Street address	{'FieldType': 'Text', 'FieldName': 'Section C - Installer Street address', 'FieldNameAlt': 'Section C - Installer Street address', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Section C - Installer Unit number	{'FieldType': 'Text', 'FieldName': 'Section C - Installer Unit number', 'FieldNameAlt': 'Section C - Installer Unit number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Section C - Installer Lot/Concession	{'FieldType': 'Text', 'FieldName': 'Section C - Installer Lot/Concession', 'FieldNameAlt': 'Section C - Installer Lot/Concession', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Section C - Installer Municipality	{'FieldType': 'Text', 'FieldName': 'Section C - Installer Municipality', 'FieldNameAlt': 'Section C - Installer Municipality', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Section C - Installer Postal code	{'FieldType': 'Text', 'FieldName': 'Section C - Installer Postal code', 'FieldNameAlt': 'Section C - Installer Postal code', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Section C - Installer Province	{'FieldType': 'Text', 'FieldName': 'Section C - Installer Province', 'FieldNameAlt': 'Section C - Installer Province', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Section C - Installer Email	{'FieldType': 'Text', 'FieldName': 'Section C - Installer Email', 'FieldNameAlt': 'Section C - Installer Email', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Section C - Installer Telephone number	{'FieldType': 'Text', 'FieldName': 'Section C - Installer Telephone number', 'FieldNameAlt': 'Section C - Installer Telephone number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Section C - Installer Fax	{'FieldType': 'Text', 'FieldName': 'Section C - Installer Fax', 'FieldNameAlt': 'Section C - Installer Fax', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Section C - Installer Cell number	{'FieldType': 'Text', 'FieldName': 'Section C - Installer Cell number', 'FieldNameAlt': 'Section C - Installer Cell number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Section D - Name of qualified supervisor(s)	{'FieldType': 'Text', 'FieldName': 'Section D - Name of qualified supervisor(s)', 'FieldNameAlt': 'Section D - Name of qualified supervisor(s)', 'FieldFlags': '4096', 'FieldJustification': 'Left'}
Section D - Building Code Identification Number (BCIN)	{'FieldType': 'Text', 'FieldName': 'Section D - Building Code Identification Number (BCIN)', 'FieldNameAlt': 'Section D - Building Code Identification Number (BCIN)', 'FieldFlags': '4096', 'FieldJustification': 'Left'}
Purpose: New construction	{'FieldType': 'Button', 'FieldName': 'Purpose: New construction', 'FieldNameAlt': 'Purpose: New construction', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Purpose: Addition to an existing building	{'FieldType': 'Button', 'FieldName': 'Purpose: Addition to an existing building', 'FieldNameAlt': 'Purpose: Addition to an existing building', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Purpose: Alteration/Repair	{'FieldType': 'Button', 'FieldName': 'Purpose: Alteration/Repair', 'FieldNameAlt': 'Purpose: Alteration/Repair', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Purpose: Demolition	{'FieldType': 'Button', 'FieldName': 'Purpose: Demolition', 'FieldNameAlt': 'Purpose: Demolition', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Purpose: Conditional Permit	{'FieldType': 'Button', 'FieldName': 'Purpose: Conditional Permit', 'FieldNameAlt': 'Purpose: Conditional Permit', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Applicant is: Owner	{'FieldType': 'Button', 'FieldName': 'Applicant is: Owner', 'FieldNameAlt': 'Applicant is: Owner', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Applicant is: Authorized agent of owner	{'FieldType': 'Button', 'FieldName': 'Applicant is: Authorized agent of owner', 'FieldNameAlt': 'Applicant is: Authorized agent of owner', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Is proposed construction for a new home as defined in the Ontario New Home Warranties Plan Act? NO (Go to section G.)	{'FieldType': 'Button', 'FieldName': 'Is proposed construction for a new home as defined in the Ontario New Home Warranties Plan Act? NO (Go to section G.)', 'FieldNameAlt': 'Is proposed construction for a new home as defined in the Ontario New Home Warranties Plan Act? NO (Go to section G.)', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['No', 'Off']}
Is proposed construction for a new home as defined in the Ontario New Home Warranties Plan Act? YES	{'FieldType': 'Button', 'FieldName': 'Is proposed construction for a new home as defined in the Ontario New Home Warranties Plan Act? YES', 'FieldNameAlt': 'Is proposed construction for a new home as defined in the Ontario New Home Warranties Plan Act? YES', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Is registration required under the Ontario New Home Warranties Plan Act? YES	{'FieldType': 'Button', 'FieldName': 'Is registration required under the Ontario New Home Warranties Plan Act? YES', 'FieldNameAlt': 'Is registration required under the Ontario New Home Warranties Plan Act? YES', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Is registration required under the Ontario New Home Warranties Plan Act? NO	{'FieldType': 'Button', 'FieldName': 'Is registration required under the Ontario New Home Warranties Plan Act? NO', 'FieldNameAlt': 'Is registration required under the Ontario New Home Warranties Plan Act? NO', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['No', 'Off']}
This application meets all the requirements of clauses 1.3.1.3 (5) (a) to (d) of Division C of the Building Code (the application is made in the correct form and by the owner or authorized agent,  all applicable fields have been completed on the application and required schedules, and all required schedules are submitted) YES	{'FieldType': 'Button', 'FieldName': 'This application meets all the requirements of clauses 1.3.1.3 (5) (a) to (d) of Division C of the Building Code (the application is made in the correct form and by the owner or authorized agent,  all applicable fields have been completed on the application and required schedules, and all required schedules are submitted) YES', 'FieldNameAlt': 'This application meets all the requirements of clauses 1.3.1.3 (5) (a) to (d) of Division C of the Building Code (the application is made in the correct form and by the owner or authorized agent,  all applicable fields have been completed on the application and required schedules, and all required schedules are submitted) YES', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
This application meets all the requirements of clauses 1.3.1.3 (5) (a) to (d) of Division C of the Building Code (the application is made in the correct form and by the owner or authorized agent,  all applicable fields have been completed on the application and required schedules, and all required schedules are submitted) NO	{'FieldType': 'Button', 'FieldName': 'This application meets all the requirements of clauses 1.3.1.3 (5) (a) to (d) of Division C of the Building Code (the application is made in the correct form and by the owner or authorized agent,  all applicable fields have been completed on the application and required schedules, and all required schedules are submitted) NO', 'FieldNameAlt': 'This application meets all the requirements of clauses 1.3.1.3 (5) (a) to (d) of Division C of the Building Code (the application is made in the correct form and by the owner or authorized agent,  all applicable fields have been completed on the application and required schedules, and all required schedules are submitted) NO', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['No', 'Off']}
This application meets all the requirements of clauses 1.3	{'FieldType': '', 'FieldName': 'This application meets all the requirements of clauses 1.3', 'FieldFlags': '0', 'FieldJustification': 'Left'}
This application meets all the requirements of clauses 1	{'FieldType': '', 'FieldName': 'This application meets all the requirements of clauses 1', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Payment has been made of all fees that are required, under the applicable by-law, resolution or regulation made under clause 7(1)(c) of the Building Code Act, 1992, to be paid when the application is made. YES	{'FieldType': 'Button', 'FieldName': 'Payment has been made of all fees that are required, under the applicable by-law, resolution or regulation made under clause 7(1)(c) of the Building Code Act, 1992, to be paid when the application is made. YES', 'FieldNameAlt': 'Payment has been made of all fees that are required, under the applicable by-law, resolution or regulation made under clause 7(1)(c) of the Building Code Act, 1992, to be paid when the application is made. YES', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Payment has been made of all fees that are required, under the applicable by-law, resolution or regulation made under clause 7(1)(c) of the Building Code Act, 1992, to be paid when the application is made. NO	{'FieldType': 'Button', 'FieldName': 'Payment has been made of all fees that are required, under the applicable by-law, resolution or regulation made under clause 7(1)(c) of the Building Code Act, 1992, to be paid when the application is made. NO', 'FieldNameAlt': 'Payment has been made of all fees that are required, under the applicable by-law, resolution or regulation made under clause 7(1)(c) of the Building Code Act, 1992, to be paid when the application is made. NO', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['No', 'Off']}
This application is accompanied by the plans and specifications prescribed by the applicable by-law, resolution or regulation made under clause 7(1)(b) of the Building Code Act, 1992. YES	{'FieldType': 'Button', 'FieldName': 'This application is accompanied by the plans and specifications prescribed by the applicable by-law, resolution or regulation made under clause 7(1)(b) of the Building Code Act, 1992. YES', 'FieldNameAlt': 'This application is accompanied by the plans and specifications prescribed by the applicable by-law, resolution or regulation made under clause 7(1)(b) of the Building Code Act, 1992. YES', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
This application is accompanied by the plans and specifications prescribed by the applicable by-law, resolution or regulation made under clause 7(1)(b) of the Building Code Act, 1992. NO	{'FieldType': 'Button', 'FieldName': 'This application is accompanied by the plans and specifications prescribed by the applicable by-law, resolution or regulation made under clause 7(1)(b) of the Building Code Act, 1992. NO', 'FieldNameAlt': 'This application is accompanied by the plans and specifications prescribed by the applicable by-law, resolution or regulation made under clause 7(1)(b) of the Building Code Act, 1992. NO', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['No', 'Off']}
This application is accompanied by the information and documents prescribed by the applicable by- law, resolution or regulation made under clause 7(1)(b) of the Building Code Act, 1992 which enable the chief building official to determine whether the proposed building, construction or demolition will contravene any applicable law. YES	{'FieldType': 'Button', 'FieldName': 'This application is accompanied by the information and documents prescribed by the applicable by- law, resolution or regulation made under clause 7(1)(b) of the Building Code Act, 1992 which enable the chief building official to determine whether the proposed building, construction or demolition will contravene any applicable law. YES', 'FieldNameAlt': 'This application is accompanied by the information and documents prescribed by the applicable by- law, resolution or regulation made under clause 7(1)(b) of the Building Code Act, 1992 which enable the chief building official to determine whether the proposed building, construction or demolition will contravene any applicable law. YES', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
